Dia;Dia_mes;Mes;Dia_sem;Lluvia;T_MAX;T_MIN;Viento_MAX;Viento_MED;SO2;CO;NO;NO2;PM2.5;PM10;O3;TOL;BEN;EBE;TCH;NMCH;SO2_MAX;CO_MAX;NO_MAX;NO2_MAX;PM2.5_MAX;PM10_MAX;O3_MAX;TOL_MAX;BEN_MAX;EBE_MAX;TCH_MAX;NMCH_MAX
347;13;DIC;D;0;12,4;5,5;23;8;9,1;0,53;44,83333333;57,95833333;20,16666667;24,58333333;14,78571429;3,183333333;1,1;0,383333333;1,496666667;0,13;17;0,7;136;83;23;34;35;4,5;2,1;0,5;1,75;0,22
348;14;DIC;L;0,2;14,1;8,8;21;10;8,1;0,44;41,25;58,41666667;19;31,83333333;15,57142857;4,383333333;1,1;0,666666667;1,566666667;0,126666667;15;0,5;86;73;20;38;31;8,4;2,3;1,1;1,71;0,24
349;15;DIC;M;0;15,6;8,8;19;9;10;0,62;94,16666667;70,29166667;27;48,83333333;11,71428571;6,5;1,483333333;1,1;1,73;0,153333333;17;0,9;161;86;29;59;31;10,3;2,6;2;2,1;0,26
350;16;DIC;X;0;15,3;6,9;17;9;12,5;0,69;103,4166667;68,16666667;27,33333333;47,5;8,428571429;6,466666667;1,516666667;0,9;1,436666667;0,156666667;21;1;275;110;33;64;26;9,2;2,8;1,5;1,61;0,22
351;17;DIC;J;0;15,1;6,6;15;8;13,6;0,8;137,75;79,41666667;31,33333333;55,83333333;8,214285714;7,8;1,7;2,083333333;1,533333333;0,206666667;22;1;302;118;35;71;26;13,7;3,2;3,3;1,79;0,28
352;18;DIC;V;0;15,1;7,6;12;6;13,2;0,77;124,6666667;79;32,33333333;53;8,571428571;8,216666667;1,9;1,6;1,49;0,196666667;22;1;308;124;36;68;25;11,9;3,3;2,3;1,7;0,27
353;19;DIC;S;0;15,4;6,1;17;9;12,8;0,71;93;72,29166667;31,5;47,33333333;10,42857143;6,516666667;1,716666667;1,016666667;1,51;0,16;21;0,9;240;106;35;61;27;10;3,2;1,8;1,7;0,2
354;20;DIC;D;0;14,8;6,8;31;12;10,1;0,54;46,75;56,95833333;24,5;41;11,78571429;3,666666667;1,2;0,483333333;1,416666667;0,126666667;17;0,7;154;83;25;50;29;5,8;2,7;0,8;1,53;0,18
355;21;DIC;L;0;13,7;5,7;21;9;11,1;0,67;90,66666667;72,875;29,33333333;41,16666667;10,71428571;6,333333333;1,733333333;0,833333333;1,57;0,156666667;19;0,9;164;92;31;55;28;8,5;3,3;1,5;1,81;0,22
356;22;DIC;M;0;14,7;5,2;21;13;13,2;0,78;115,375;80,29166667;23,5;33,58333333;11,78571429;7,783333333;1,8;1,033333333;1,49;0,156666667;20;1;262;114;28;46;29;10,5;3,5;1,8;1,68;0,2
357;23;DIC;X;0;14,3;4,9;19;10;14;0,78;125,1666667;82,375;26,5;36,25;10,64285714;8,6;1,9;1,2;1,526666667;0,173333333;21;1;315;130;29;52;30;12,7;3,3;2,5;1,76;0,22
358;24;DIC;J;0;10;3,2;10;4;12,3;0,67;95,20833333;66,75;31,83333333;35,91666667;8,428571429;6,133333333;1,633333333;0,583333333;1,68;0,156666667;18;0,8;221;96;36;49;26;8,7;3,4;1,2;2,05;0,21
359;25;DIC;V;0;12,8;3,3;19;11;11,2;0,62;66,33333333;57,91666667;36,16666667;36,16666667;14,14285714;4,383333333;1,533333333;0,45;1,53;0,14;20;0,8;204;92;40;56;34;6;2,9;0,8;1,71;0,21
360;26;DIC;S;0;11,1;3,8;21;9;10,4;0,52;43,70833333;52,45833333;24,5;25,58333333;16,14285714;2,716666667;1,05;0,316666667;1,386666667;0,113333333;18;0,7;133;75;31;40;35;3,9;2,2;0,4;1,48;0,19
361;27;DIC;D;0;13,8;5,9;23;13;11;0,43;20,58333333;38,83333333;12,83333333;17,75;25,92857143;1,516666667;0,733333333;0,166666667;1,32;0,093333333;29;0,7;101;70;18;31;51;2,1;1,4;0,3;1,42;0,17
362;28;DIC;L;0,7;14,1;6,4;30;14;9,7;0,39;23,16666667;48,83333333;14;26,91666667;24,57142857;2,04;0,6;0,22;1,31;0,086666667;19;0,5;70;69;15;31;42;2,5;1;0,3;1,37;0,16
363;29;DIC;M;0;10,7;6;22;9;7,9;0,34;24,33333333;43,29166667;11,5;15,91666667;27,57142857;1,88;0,52;0,26;1,296666667;0,08;15;0,4;60;56;15;26;45;2,6;0,9;0,5;1,37;0,15
364;30;DIC;X;0;10,4;7;18;9;8,2;0,35;18,45833333;42,54166667;9,333333333;15,08333333;26,71428571;2,916666667;0,733333333;0,266666667;1,343333333;0,086666667;14;0,4;56;58;12;24;43;7,5;1,8;0,4;1,49;0,16
365;31;DIC;J;0,6;12,2;9,2;22;10;8;0,38;23,75;43,45833333;11,16666667;14,33333333;17,07142857;3,05;0,816666667;0,233333333;1,366666667;0,083333333;14;0,5;55;56;14;22;32;8,3;1,9;0,4;1,53;0,16
