Dia;Dia_mes;Mes;Dia_sem;Lluvia;T_MAX;T_MIN;Viento_MAX;Viento_MED;SO2;CO;NO;NO2;PM2.5;PM10;O3;TOL;BEN;EBE;TCH;NMCH;SO2_MAX;CO_MAX;NO_MAX;NO2_MAX;PM2.5_MAX;PM10_MAX;O3_MAX;TOL_MAX;BEN_MAX;EBE_MAX;TCH_MAX;NMCH_MAX
60;1;MAR;D;0;19;9,9;31;17;4,9;0,29;6,833333333;21,08333333;5,166666667;9,833333333;49,21428571;1,333333333;0,483333333;0,25;1,453333333;0,38;9;0,6;24;41;7;17;65;2,8;1,3;0,6;1,77;1,04
61;2;MAR;L;0;18,6;8,5;21;12;5;0,34;20,29166667;33,91666667;10,33333333;15,91666667;25,5;2,316666667;0,683333333;0,45;1,54;0,416666667;9;0,6;46;49;14;24;34;5,1;2;0,9;1,94;1,11
62;3;MAR;M;0;17,4;9,4;16;9;5,8;0,42;33,875;45,20833333;19,5;25,5;14,5;3,35;0,916666667;0,733333333;1,626666667;0,466666667;10;0,7;59;64;24;36;24;6;2,4;1,6;1,99;1,2
63;4;MAR;X;0;15,3;5,6;42;21;6,8;0,39;36,04166667;37,79166667;11,16666667;17;41;3,283333333;0,833333333;0,616666667;1,583333333;0,46;13;0,7;73;55;14;22;53;5,8;2,1;1;1,92;1,15
64;5;MAR;J;0;14,9;2,6;36;17;8,3;0,32;12,91666667;36;4,833333333;9,333333333;53,71428571;1,45;0,533333333;0,283333333;1,473333333;0,43;28;0,6;46;58;7;13;71;2,6;1,3;0,6;1,71;1,1
65;6;MAR;V;0;18,6;4,6;36;17;8,4;0,5;47,66666667;60;8,5;20,16666667;37,64285714;3,216666667;0,95;0,616666667;1,576666667;0,473333333;18;0,8;113;82;12;29;50;5;2,2;1;1,86;1,18
66;7;MAR;S;0;21,3;5,6;20;11;9,7;0,57;63,29166667;70,83333333;15;26,58333333;25,21428571;4,3;1,166666667;0,833333333;1,663333333;0,46;17;0,9;140;89;20;40;42;6,7;2,5;1,4;1,96;1,07
67;8;MAR;D;0;22,6;6,5;31;15;7,8;0,41;28,625;49,58333333;10,33333333;17,66666667;38,14285714;2,816666667;0,9;0,566666667;1,643333333;0,513333333;15;0,8;76;69;14;28;64;4,4;1,9;1,1;1,93;1,29
68;9;MAR;L;0;22,1;6,5;19;10;8,5;0,47;43,20833333;65,70833333;10,16666667;22,66666667;34,07142857;3,2;0,916666667;0,583333333;1,563333333;0,426666667;14;0,8;102;88;12;33;52;4,6;2;1,1;1,83;1,04
69;10;MAR;M;0;22,9;8,5;21;10;7,7;0,48;45,08333333;69,33333333;11,4;23,63636364;28,78571429;3,933333333;0,983333333;0,75;1,606666667;0,426666667;12;0,8;113;91;14;35;46;6,4;2,3;1,2;1,95;1,03
70;11;MAR;X;0;22,4;6,3;19;9;8,9;0,54;50,625;77,54166667;19;33,25;29,07142857;4,55;1,2;1;1,65;0,433333333;13;0,9;102;105;23;47;46;6,8;2,8;1,5;1,98;1,01
71;12;MAR;J;0;21,7;8,3;24;12;8,1;0,49;45,70833333;73,20833333;21,5;33,58333333;29,92857143;4,033333333;1,1;1,033333333;1,636666667;0,49;13;0,8;86;104;26;49;47;7,1;2,8;2,6;1,96;1,19
72;13;MAR;V;0;18,4;9,2;41;19;7,9;0,36;20,45833333;43,75;15;28,58333333;40;2,75;0,716666667;0,7;1,543333333;0,46;22;0,7;51;65;19;35;55;5,1;1,9;1,6;1,83;1,16
73;14;MAR;S;0;13,8;4,5;43;19;6,3;0,3;5,25;22,08333333;3,5;9,75;70,21428571;0,983333333;0,433333333;0,183333333;1,436666667;0,326666667;15;0,6;24;43;5;18;83;1,8;1,1;0,4;1,64;0,82
74;15;MAR;D;0;9,5;2,6;30;14;6,4;0,31;4,541666667;24,75;9,833333333;12,16666667;65,28571429;0,716666667;0,45;0,166666667;1,446666667;0,22;15;0,6;16;45;12;17;85;1,4;1,2;0,3;1,63;0,5
75;16;MAR;L;0;12,8;1,7;24;12;7,1;0,42;21;47,45833333;15,5;19,66666667;45,85714286;1,766666667;0,733333333;0,383333333;1,513333333;0,32;16;0,7;53;61;19;29;57;3,7;2,1;0,8;1,76;0,76
76;17;MAR;M;0;13,9;4,9;38;19;8,3;0,34;11,41666667;43,58333333;18,33333333;26,58333333;51;2,116666667;0,7;0,366666667;1,523333333;0,373333333;29;0,6;30;67;22;34;73;4,1;1,9;0,7;1,77;0,93
77;18;MAR;X;5,4;9,3;3;32;15;7,8;0,34;8,625;36,70833333;9,166666667;12,08333333;57,78571429;1,35;0,633333333;0,266666667;1,463333333;0,37;33;0,7;35;62;11;21;80;2,4;1,5;0,5;1,66;0,94
78;19;MAR;J;2,8;12,1;5,9;45;21;7,2;0,31;3,791666667;21,04166667;7,333333333;11,25;63,14285714;0,816666667;0,5;0,183333333;1,433333333;0,36;26;0,6;16;41;8;16;82;1,7;1,2;0,5;1,65;0,94
79;20;MAR;V;3,2;13,1;8,6;58;27;7,4;0,31;5,208333333;24,08333333;11,5;15,58333333;65,21428571;1,033333333;0,55;0,283333333;1,436666667;0,393333333;24;0,6;24;47;13;20;88;2,2;1,2;0,6;1,65;1,02
80;21;MAR;S;3,7;11,9;7;41;18;7,1;0,31;4,541666667;22;6,666666667;7,916666667;61,14285714;0,783333333;0,5;0,2;1,436666667;0,373333333;23;0,6;20;45;9;13;81;1,6;1,2;0,4;1,65;0,98
81;22;MAR;D;5,2;12,5;7,7;33;7;7,9;0,32;4,458333333;21,29166667;4,833333333;8,333333333;59,07142857;0,666666667;0,533333333;0,166666667;1,45;0,386666667;30;0,6;21;42;6;16;77;1,2;1,3;0,3;1,66;1,02
82;23;MAR;L;18,6;8,7;6,2;26;13;6,8;0,41;18,66666667;46,375;7;8;31,21428571;1,933333333;0,766666667;0,3;1,463333333;0,356666667;16;0,7;49;66;10;13;59;4,3;1,9;0,5;1,66;0,9
83;24;MAR;M;0,8;14,1;6,3;45;23;7,2;0,31;6,833333333;26,41666667;4,166666667;5,75;58,71428571;1,02;0,38;0,26;1,436666667;0,313333333;20;0,6;29;49;6;10;81;2,3;0,6;0,5;1,63;0,78
84;25;MAR;X;0;10,5;3,7;57;26;5,6;0,28;6,5;19,95833333;2,833333333;6,416666667;74,92857143;1,34;0,5;0,26;1,43;0,39;12;0,6;19;36;4;11;91;3,3;1,3;0,4;1,65;1
85;26;MAR;J;0;14,9;2,5;42;17;5,6;0,31;15,95833333;34,91666667;5,6;13,54545455;46,30769231;2,1;0,725;0,35;1,456666667;0,31;10;0,6;45;54;7;26;61;4,7;1,9;0,6;1,7;0,76
86;27;MAR;V;0;20,5;8,6;28;4;6,6;0,38;25,45833333;34,875;6,6;12;35,07142857;2,28;0,74;0,56;1,463333333;0,29;11;0,7;71;52;8;18;47;5;1,9;1,3;1,7;0,71
87;28;MAR;S;0;25,3;8,7;36;14;7,5;0,4;39,25;44,04166667;12,6;18,36363636;32,42857143;3,25;0,9;1,016666667;1,593333333;0,366666667;11;0,7;97;57;15;25;49;6;2,2;2,3;1,86;0,87
88;29;MAR;D;0;23;11,1;26;11;6,111111111;0,311111111;10,43478261;32;6,75;14,1;52,07692308;1,5;0,52;0,62;1,61;0,33;9;0,5;30;50;8;27;60;3,1;1,2;2;1,77;0,54
89;30;MAR;L;0;27;13,2;28;14;6;0,35;20,875;48,5;9;19,27272727;49,64285714;2,3;0,666666667;0,833333333;1,556666667;0,256666667;9;0,6;51;70;13;28;67;4,9;1,9;2,1;1,92;0,59
90;31;MAR;M;0;26,8;12,5;29;13;6,9;0,42;34,625;55,66666667;11,8;22,45454545;41,14285714;4,98;1,06;1,28;1,536666667;0,296666667;11;0,8;66;73;14;28;56;7,5;2,4;3,9;1,78;0,66
91;1;ABR;X;0;22,5;10;32;15;5,3;0,27;7,75;28,25;6,5;12,83333333;60,35714286;1,8;0,35;0,516666667;1,423333333;0,266666667;8;0,5;35;55;8;16;80;3,6;0,9;1,7;1,59;0,65
92;2;ABR;J;0;24;7,9;30;15;4,7;0,27;6,041666667;25,75;5;12,5;65,57142857;1,116666667;0,316666667;0,233333333;1,433333333;0,293333333;8;0,5;22;45;7;22;80;1,9;0,7;0,5;1,63;0,73
93;3;ABR;V;0;24,2;12,5;28;15;4,7;0,25;7,208333333;23,20833333;3,666666667;9;51,42857143;1,016666667;0,266666667;0,216666667;1,42;0,283333333;8;0,5;35;47;4;14;63;1,9;0,6;0,4;1,63;0,7
94;4;ABR;S;0;22,4;9,8;39;22;4,6;0,23;3,416666667;17,91666667;4,166666667;11,75;67;0,866666667;0,216666667;0,25;1,393333333;0,276666667;8;0,5;18;40;5;19;83;1,7;0,5;0,8;1,55;0,68
95;5;ABR;D;0;24;9,1;36;16;4,5;0,25;4,958333333;22,375;4;9,75;69,71428571;1,016666667;0,3;0,25;1,426666667;0,31;8;0,5;18;38;4;18;85;2,4;0,9;0,7;1,63;0,78
96;6;ABR;L;0;21,2;9,8;31;15;4,9;0,26;6,875;24,75;7,166666667;16,75;64,07142857;1,316666667;0,4;0,216666667;1,446666667;0,32;8;0,5;20;43;8;28;82;3,2;1,3;0,4;1,63;0,83
97;7;ABR;M;0;18,5;9;75;20;4,8;0,29;7,583333333;23,79166667;8,333333333;17,16666667;74,14285714;1,383333333;0,433333333;0,266666667;1,466666667;0,33;8;0,5;29;41;11;21;90;3,2;1,3;0,6;1,65;0,86
98;8;ABR;X;0;18,4;7;39;17;6;0,3;5,166666667;23,41666667;7,166666667;16,5;88,28571429;1,183333333;0,433333333;0,283333333;1,44;0,306666667;19;0,5;17;42;8;22;104;3,6;1,3;0,8;1,62;0,77
99;9;ABR;J;5,8;11,9;6;30;14;6,9;0,32;7,208333333;34,91666667;8,166666667;13,75;62,57142857;1,666666667;0,566666667;0,266666667;1,466666667;0,303333333;22;0,6;28;60;9;18;87;4,3;1,5;0,5;1,63;0,76
100;10;ABR;V;0;16,9;8,4;16;8;6,7;0,34;9,375;41,41666667;15,66666667;23;56,35714286;2,133333333;0,683333333;0,4;1,466666667;0,336666667;20;0,6;23;67;17;26;76;5,5;2,1;0,8;1,66;0,86
101;11;ABR;S;0;22,2;10;46;17;6,5;0,31;8;29,08333333;11,66666667;20,83333333;59,42857143;1,566666667;0,483333333;0,283333333;1,473333333;0,363333333;18;0,6;33;49;14;26;78;3,8;1,3;0,5;1,7;0,96
102;12;ABR;D;0;21,5;11,1;36;17;5,7;0,27;3,25;21,75;13,33333333;29;72,07142857;0,95;0,35;0,25;1,44;0,35;13;0,5;12;45;16;33;84;2,8;0,9;0,6;1,64;0,93
103;13;ABR;L;0;23,4;12,9;53;25;5,1;0,3;6,25;28,45833333;15,33333333;42,25;71,64285714;1,433333333;0,433333333;0,266666667;1,466666667;0,33;8;0,6;23;53;17;49;84;3,6;1,1;0,4;1,64;0,84
104;14;ABR;M;0,1;24,8;12;53;24;4,9;0,29;8,708333333;31,33333333;15,66666667;42,75;70,64285714;1,75;0,4;0,266666667;1,453333333;0,333333333;8;0,6;31;60;17;48;86;3,5;1,1;0,5;1,66;0,83
105;15;ABR;X;17,8;18,9;11,9;33;17;6,5;0,31;10,625;35,83333333;12,83333333;29;70,14285714;2,1;0,5;0,416666667;1,426666667;0,26;18;0,6;27;57;15;36;90;5;1,6;1;1,59;0,62
106;16;ABR;J;0,2;16,9;10,6;32;15;4,7;0,27;8,291666667;27,54166667;8,166666667;12,75;57;1,633333333;0,5;0,283333333;1,453333333;0,236666667;8;0,6;29;47;12;18;75;4,1;1,5;0,6;1,69;0,59
107;17;ABR;V;0;20,1;11,5;26;12;4,7;0,31;10,25;31,29166667;11,5;18,58333333;61,42857143;2;0,55;0,35;1,456666667;0,346666667;8;0,7;37;51;14;24;80;4,6;1,6;0,8;1,71;0,91
108;18;ABR;S;0;19,1;10;47;21;4,7;0,3;12,16666667;32,5;10,66666667;20,83333333;55,42857143;1,866666667;0,483333333;0,283333333;1,603333333;0,47;8;0,6;40;50;14;26;66;4,1;1,4;0,5;1,86;1,25
109;19;ABR;D;0;18,8;7,4;50;13;4,5;0,26;4,833333333;20,54166667;4;7,75;74,57142857;0,9;0,366666667;0,166666667;1,446666667;0,446666667;7;0,5;14;39;5;13;89;2,3;1;0,3;1,69;1,22
110;20;ABR;L;0;21,6;8,8;22;12;5,444444444;0,322222222;11,43478261;38,56521739;6,333333333;12,25;59,23076923;1,783333333;0,466666667;0,283333333;1,486666667;0,47;9;0,6;37;61;8;16;76;3,3;1,2;0,6;1,72;1,24
111;21;ABR;M;0;22,4;12,1;37;18;5;0,3;7,086956522;29,95652174;6,333333333;15,83333333;76,15384615;1,966666667;0,45;0,283333333;1,463333333;0,456666667;8;0,6;23;53;8;24;85;3,8;1,3;0,6;1,68;1,22
112;22;ABR;X;0;21,8;12,1;36;16;5,222222222;0,288888889;7,043478261;27,82608696;8,333333333;18,41666667;80,15384615;1,533333333;0,45;0,25;1,466666667;0,486666667;10;0,6;19;49;11;28;88;3,6;1,4;0,5;1,72;1,33
113;23;ABR;J;0;24;10,8;30;12;5,222222222;0,344444444;16,30434783;43,65217391;12;23,5;59,15384615;2,866666667;0,65;0,4;1,533333333;0,583333333;8;0,7;39;67;14;31;72;5,6;2;0,8;1,81;1,56
114;24;ABR;V;0;22,9;12,5;30;14;6;0,366666667;21,52173913;49,69565217;13;29,33333333;50,61538462;3,516666667;0,766666667;0,55;1,596666667;0,563333333;9;0,7;46;73;14;37;68;6,2;2,2;1,1;1,88;1,48
115;25;ABR;S;0,1;18,9;11,5;39;17;4,666666667;0,244444444;4,043478261;16,30434783;5,5;13,33333333;71,92307692;0,866666667;0,3;0,15;1,433333333;0,52;8;0,5;16;36;7;23;85;2;0,7;0,3;1,7;1,46
116;26;ABR;D;21,6;15,3;9,3;63;22;4,666666667;0,266666667;3,869565217;20,56521739;4,166666667;7,416666667;59,76923077;0,883333333;0,333333333;0,15;1,473333333;0,566666667;8;0,5;11;34;6;14;77;2,2;0,9;0,3;1,79;1,59
117;27;ABR;L;0;16,7;8,2;33;15;4,777777778;0,3;8,130434783;23,69565217;4,333333333;8,75;65,53846154;1,416666667;0,45;0,233333333;1,453333333;0,583333333;8;0,6;33;50;7;15;83;3,6;1,4;0,4;1,71;1,6
118;28;ABR;M;0;19,6;8,7;29;12;5,8;0,32;12,04166667;35,625;5,666666667;11,58333333;51,85714286;2,783333333;0,533333333;0,366666667;1,496666667;0,62;13;0,7;34;52;7;20;65;6,5;1,5;0,7;1,77;1,69
119;29;ABR;X;0;21,1;10,8;32;13;5;0,29;9,166666667;27,79166667;7,5;14,33333333;64,42857143;2;0,483333333;0,283333333;1,46;0,26;9;0,6;37;48;10;20;75;4,9;1,4;0,5;1,7;0,64
120;30;ABR;J;0;23,4;10,3;28;13;5,5;0,31;19,08333333;39,04166667;9,666666667;20,33333333;51,14285714;2,95;0,633333333;0,4;1,496666667;0,133333333;9;0,6;38;59;12;33;59;5,7;1,9;0,8;1,7;0,23
121;1;MAY;V;0;23,9;13,2;26;13;4,7;0,22;4,083333333;18,83333333;7,333333333;16;55,35714286;1,216666667;0,266666667;0,166666667;1,48;0,056666667;8;0,4;17;35;9;26;66;2,4;0,6;0,4;1,81;0,1
122;2;MAY;S;0;26,6;14,3;40;15;4,6;0,2;6,458333333;15,79166667;7,333333333;14,08333333;30,35714286;1,2;0,3;0,216666667;1,436666667;0,056666667;8;0,3;19;27;9;20;47;3,1;0,9;0,4;1,69;0,1
123;3;MAY;D;0;21,6;17,1;34;15;4,7;0,23;5;21,56521739;8,8;20,54545455;50,78571429;1,166666667;0,266666667;0,183333333;1,45;0,07;8;0,4;19;41;11;30;69;2,6;0,6;0,5;1,74;0,11
124;4;MAY;L;0,1;26,9;16;52;27;5,2;0,28;14,83333333;30,95833333;11,5;28,16666667;47,5;2,25;0,466666667;0,383333333;1,466666667;0,083333333;9;0,4;34;45;13;36;61;4,9;1,5;0,7;1,6;0,13
125;5;MAY;M;0;21,1;11,5;43;18;4,9;0,24;5,333333333;16,79166667;4,833333333;10,66666667;80,64285714;1,283333333;0,35;0,2;1,396666667;0,096666667;9;0,4;22;36;7;15;94;3;1;0,4;1,57;0,17
126;6;MAY;X;0;23,4;9,8;25;12;5;0,29;11,25;35,125;7;16;65,42857143;3,28;0,6;0,4;1,466666667;0,133333333;8;0,4;27;54;9;21;78;5,2;1,5;0,7;1,67;0,21
127;7;MAY;J;0;28,2;11,1;23;11;6;0,35;20,125;54,58333333;11;26,41666667;58,07142857;3,916666667;0,75;0,633333333;1,506666667;0,14;10;0,5;49;76;13;40;79;7,4;2,1;1,2;1,69;0,19
128;8;MAY;V;0;24,7;12,9;24;12;5,1;0,27;6,958333333;24,5;8,166666667;22,58333333;70,92857143;1,966666667;0,45;0,3;1,433333333;0,096666667;9;0,5;29;49;10;37;83;3,8;1,2;0,6;1,63;0,13
129;9;MAY;S;0;28,2;13;19;10;5,2;0,33;15,66666667;43,41666667;10,33333333;19,83333333;63,35714286;2,5;0,566666667;0,4;1,523333333;0,143333333;9;0,4;42;65;13;28;78;4,9;1,6;0,7;1,7;0,18
130;10;MAY;D;0;31,5;16,4;28;12;5,3;0,32;13,33333333;39,75;13;25,58333333;71;2,533333333;0,633333333;0,4;1,52;0,153333333;10;0,5;39;71;16;35;88;5,3;1,6;1;1,66;0,19
131;11;MAY;L;0;32,4;17,5;22;11;5,7;0,36;16,08695652;48,26086957;13,2;32,18181818;70,35714286;3,133333333;0,633333333;0,45;1,536666667;0,163333333;10;0,5;50;78;18;43;86;6,3;1,8;0,8;1,69;0,19
132;12;MAY;M;0;33,6;17,5;24;11;5,7;0,35;13,43478261;53,39130435;15;36,45454545;74,14285714;3,95;0,733333333;0,616666667;1,576666667;0,17;10;0,5;42;78;16;45;93;6,3;2;1;1,74;0,21
133;13;MAY;X;0;35,8;19,9;34;17;5,9;0,4;24,95833333;64,70833333;23,6;58,18181818;44,85714286;5,1;0,933333333;0,783333333;1,58;0,196666667;11;0,6;53;97;27;71;71;8;2,6;1,3;1,73;0,25
134;14;MAY;J;0;32,9;18,5;45;20;5,1;0,29;11,625;39,20833333;17;47,25;70,92857143;2,933333333;0,533333333;0,4;1,546666667;0,17;9;0,5;41;66;20;53;89;5,3;1,6;0,7;1,85;0,23
135;15;MAY;V;0;23,2;11,9;48;24;5;0,22;2,541666667;12,58333333;4,833333333;20,83333333;85,64285714;0,816666667;0,316666667;0,133333333;1,41;0,136666667;9;0,3;9;29;6;36;95;1,4;0,7;0,3;1,54;0,2
136;16;MAY;S;0;28;10,7;44;17;4,9;0,22;2,958333333;14,25;3,5;12,75;79,64285714;0,666666667;0,2;0,116666667;1,413333333;0,143333333;8;0,3;12;36;5;43;91;1,1;0,5;0,2;1,54;0,21
137;17;MAY;D;0;30,3;13,8;36;15;5,1;0,23;6,583333333;21,5;5,333333333;14,66666667;76,85714286;0,95;0,3;0,166666667;1,41;0,153333333;9;0,3;32;45;7;27;90;1,6;0,5;0,3;1,54;0,22
138;18;MAY;L;0;31,9;16,6;28;14;5,4;0,26;8,708333333;32,54166667;9;19,83333333;77,21428571;2,083333333;0,45;0,266666667;1,46;0,173333333;10;0,4;20;57;12;28;93;4,1;1,2;0,5;1,63;0,27
139;19;MAY;M;0;23,5;12,4;49;24;5,2;0,23;5,391304348;23,34782609;6,2;21,90909091;63,64285714;1,833333333;0,283333333;0,283333333;1,433333333;0,16;9;0,4;17;42;7;29;74;3,7;0,9;0,5;1,59;0,25
140;20;MAY;X;0;21,8;7,6;44;18;5,1;0,24;5,041666667;18,33333333;4,666666667;11,91666667;79,14285714;2,06;0,34;0,26;1,43;0,17;9;0,4;19;39;6;20;90;4,2;0,7;0,4;1,55;0,27
141;21;MAY;J;0;22,5;8,5;44;21;5,2;0,22;4,583333333;16,91666667;4,333333333;11,16666667;83,57142857;1,25;0,266666667;0,166666667;1,42;0,156666667;9;0,3;18;38;6;15;93;2,4;0,7;0,3;1,55;0,27
142;22;MAY;V;0;22,7;7,8;45;20;5,1;0,23;4,375;17,29166667;5;12,66666667;83,57142857;0,966666667;0,2;0,15;1,426666667;0,173333333;9;0,4;18;42;7;17;93;1,9;0,4;0,3;1,56;0,3
143;23;MAY;S;0;24;9,7;49;22;5,1;0,21;2,708333333;11,33333333;6,166666667;14,33333333;85,64285714;0,65;0,2;0,133333333;1,413333333;0,166666667;9;0,3;10;30;8;19;93;1,3;0,4;0,2;1,55;0,31
144;24;MAY;D;0;24,7;11,4;46;21;5,1;0,19;2,333333333;10,79166667;5,333333333;12,33333333;79,5;0,483333333;0,166666667;0,1;1,403333333;0,16;9;0,3;9;28;6;17;90;0,9;0,3;0,1;1,54;0,29
145;25;MAY;L;0;26;13,7;34;15;5,1;0,23;5,666666667;20,45833333;6,666666667;13,5;74,14285714;1,466666667;0,283333333;0,166666667;1,42;0,163333333;9;0,3;17;43;7;16;86;3,6;0,8;0,3;1,55;0,29
146;26;MAY;M;0;28,1;12,6;35;16;5,2;0,22;5,791666667;20,04166667;6,166666667;12,66666667;71,57142857;1,58;0,34;0,24;1,41;0,176666667;9;0,3;20;41;7;15;82;2,5;0,8;0,4;1,54;0,32
147;27;MAY;X;0;29,5;13,4;42;22;5,1;0,24;5,083333333;23,70833333;5,833333333;12,66666667;74,85714286;1,5;0,283333333;0,2;1,426666667;0,193333333;9;0,4;21;49;7;17;89;2,4;0,6;0,4;1,56;0,35
148;28;MAY;J;0;31,5;16,5;32;14;5,4;0,28;9,041666667;38,91666667;11,5;24,16666667;82,21428571;2,783333333;0,5;0,433333333;1,473333333;0,213333333;11;0,4;31;63;14;31;98;4,4;1,5;0,8;1,64;0,38
149;29;MAY;V;0;30,4;17,8;42;19;5,6;0,29;8,375;38,83333333;10,5;27,66666667;75,07142857;3,983333333;0,5;0,433333333;1,483333333;0,206666667;12;0,5;23;67;13;38;93;5,9;1,5;0,6;1,63;0,36
150;30;MAY;S;0;30;15,2;31;15;5,4;0,25;5,833333333;31,33333333;10,83333333;17,5;76,64285714;2,35;0,416666667;0,283333333;1,466666667;0,183333333;11;0,4;20;53;13;24;94;5,1;1,4;0,5;1,62;0,31
151;31;MAY;D;0;31,1;16,4;30;13;5,3;0,23;3,791666667;23,125;9;16,75;80,28571429;1,316666667;0,316666667;0,2;1,436666667;0,19;11;0,3;13;46;12;23;93;2,6;0,8;0,3;1,6;0,35
152;1;JUN;L;0;31,8;17,6;32;13;5,4;0,28;7,958333333;32,83333333;11;24,66666667;72,57142857;2,783333333;0,433333333;0,416666667;1,463333333;0,2;11;0,4;21;54;14;36;87;5,3;1,2;1,1;1,63;0,37
153;2;JUN;M;0;32,9;18,5;27;11;5,4;0,27;8,458333333;35,58333333;12;25,75;74,35714286;2,983333333;0,483333333;0,35;1,45;0,19;11;0,4;26;59;14;31;89;5,3;1,4;0,6;1,58;0,32
154;3;JUN;X;0;34;20,1;33;17;5,7;0,26;6,291666667;32,70833333;12,66666667;29,66666667;84,5;3;0,45;0,4;1,476666667;0,19;11;0,4;18;59;15;37;98;4,9;1,4;0,9;1,59;0,34
155;4;JUN;J;0;32,3;19,2;29;14;5,3;0,2;2,416666667;17,54166667;7,833333333;17;93,85714286;1,983333333;0,25;0,2;1,486666667;0,23;11;0,3;8;36;9;25;103;3,8;0,7;0,4;1,62;0,41
156;5;JUN;V;0;32,5;18,4;29;12;6,1;0,25;5,375;29,25;10,5;24,16666667;87,71428571;1,916666667;0,366666667;0,2;1,473333333;0,21;12;0,4;21;57;12;31;100;4;1,2;0,4;1,6;0,41
157;6;JUN;S;0;34,1;19,5;31;14;5,6;0,23;3,875;24,5;11,5;26,83333333;95,92857143;1,65;0,35;0,183333333;1,466666667;0,206666667;11;0,3;23;58;14;34;107;3;0,9;0,3;1,6;0,4
158;7;JUN;D;0;34,1;21,2;34;18;5,3;0,21;2,458333333;18,91666667;9,5;21,08333333;103,3571429;0,916666667;0,216666667;0,133333333;1,436666667;0,203333333;11;0,3;8;43;11;27;119;1,7;0,5;0,2;1,58;0,39
159;8;JUN;L;0;33,3;19,7;25;10;5,4;0,25;5,833333333;32,875;9,833333333;22,16666667;99,64285714;2,05;0,433333333;0,233333333;1,453333333;0,196666667;11;0,4;20;65;13;34;114;4,4;1,3;0,5;1,59;0,34
160;9;JUN;M;0,2;32,6;19;45;20;5,3;0,23;4,583333333;27,875;11,5;33,08333333;97,14285714;2;0,333333333;0,2;1,443333333;0,196666667;11;0,4;13;53;14;49;119;3,4;1;0,4;1,57;0,36
161;10;JUN;X;3,1;27,7;16,9;35;16;5,3;0,27;6,5;34,91666667;14,66666667;24,16666667;65,14285714;2,516666667;0,516666667;0,333333333;1,52;0,186666667;11;0,4;22;60;19;32;75;5,2;1,8;0,8;1,64;0,33
162;11;JUN;J;25,8;22,6;15,1;39;16;5,3;0,25;8,666666667;32,95833333;12,6;22,27272727;54,78571429;2,26;0,52;0,3;1,453333333;0,19;11;0,4;26;55;16;30;74;5,1;1,6;0,8;1,57;0,37
163;12;JUN;V;0;23;14,5;42;18;5,1;0,2;6,791666667;24,70833333;9,4;17,90909091;61,21428571;1,84;0,36;0,18;1,49;0,206666667;11;0,4;30;57;11;23;71;3,6;0,9;0,4;1,74;0,43
164;13;JUN;S;0;22,3;15,5;41;20;4,9;0,222222222;4,458333333;25,375;8,6;17,81818182;72,35714286;1,38;0,32;0,18;1,55;0,24;11;0,4;18;56;10;23;83;3;0,8;0,4;1,82;0,51
165;14;JUN;D;0;22,4;12,8;42;19;4,7;0,18;2,708333333;12,41666667;4,8;11,27272727;82,64285714;0,54;0,16;0,1;1,4;0,19;11;0,3;12;46;7;18;87;1,2;0,3;0,1;1,53;0,39
166;15;JUN;L;4,5;20,6;11,6;30;17;5,1;0,21;5,333333333;24,91666667;4,6;10,72727273;77,57142857;1,36;0,38;0,16;1,45;0,196666667;11;0,3;17;41;5;18;87;3,8;1,2;0,4;1,63;0,41
167;16;JUN;M;0,1;25,5;12,8;24;12;5,1;0,25;7,208333333;27;6,4;10,81818182;64,92857143;1,75;0,4;0,25;1,433333333;0,19;11;0,4;19;48;8;14;75;3,6;1,1;0,5;1,56;0,38
168;17;JUN;X;0;27,1;14,8;36;19;5,1;0,22;4,875;21,91666667;7,2;14;71,42857143;1,883333333;0,266666667;0,16;1,55;0,306666667;11;0,3;18;47;8;18;80;3,7;0,5;0,3;1,88;0,47
169;18;JUN;J;0;30,2;14,8;41;19;5,2;0,27;7,041666667;28,16666667;9,8;17,09090909;88,71428571;1,833333333;0,383333333;0,3;1,466666667;0,246666667;11;0,4;31;59;12;22;104;3,1;0,9;0,6;1,62;0,44
170;19;JUN;V;0;32,7;18,2;42;17;5,1;0,23;5,375;25,33333333;9,8;15,81818182;75,92857143;1,883333333;0,3;0,233333333;1,423333333;0,22;11;0,4;19;50;12;19;85;3;0,7;0,4;1,54;0,42
171;20;JUN;S;0;33,8;17,6;37;17;5,1;0,25;6,541666667;25,125;6,8;11,81818182;86,5;1,366666667;0,3;0,2;1,43;0,243333333;11;0,4;32;54;8;15;96;2,3;0,6;0,3;1,54;0,46
172;21;JUN;D;0;35,3;20,4;30;13;5;0,24;3,625;26,20833333;11,6;20,09090909;91,14285714;1,3;0,333333333;0,183333333;1,45;0,223333333;11;0,4;15;51;13;24;102;2,8;0,9;0,3;1,59;0,43
173;22;JUN;L;0,1;34,4;22,5;35;17;5,4;0,28;10,58333333;39,79166667;16,4;30,27272727;85,78571429;2,866666667;0,583333333;0,366666667;1,48;0,226666667;13;0,5;22;76;19;36;105;6,2;2;0,9;1,62;0,44
174;23;JUN;M;11,1;32;18,6;40;20;5,2;0,24;6,458333333;32,33333333;13,4;24,72727273;80,71428571;2,32;0,52;0,32;1,56;0,29;12;0,4;15;56;15;30;95;4,6;1,3;0,6;1,58;0,44
